Algorithm n Comparisons
Bubble 10 54
InsertionSmart 10 39
InsertionDumb 10 31
Selection 10 54
Quick 10 78
Bubble 10 99
InsertionSmart 10 39
InsertionDumb 10 35
Selection 10 54
Quick 10 80
Bubble 10 72
InsertionSmart 10 39
InsertionDumb 10 35
Selection 10 54
Quick 10 61
Bubble 10 99
InsertionSmart 10 39
InsertionDumb 10 50
Selection 10 54
Quick 10 62
Bubble 10 63
InsertionSmart 10 39
InsertionDumb 10 36
Selection 10 54
Quick 10 62
Bubble 10 90
InsertionSmart 10 39
InsertionDumb 10 41
Selection 10 54
Quick 10 56
Bubble 10 99
InsertionSmart 10 39
InsertionDumb 10 45
Selection 10 54
Quick 10 55
Bubble 10 81
InsertionSmart 10 39
InsertionDumb 10 48
Selection 10 54
Quick 10 65
Bubble 10 72
InsertionSmart 10 39
InsertionDumb 10 38
Selection 10 54
Quick 10 52
Bubble 10 81
InsertionSmart 10 39
InsertionDumb 10 35
Selection 10 54
Quick 10 59
Bubble 100 8415
InsertionSmart 100 764
InsertionDumb 100 2881
Selection 100 5049
Quick 100 1466
Bubble 100 8712
InsertionSmart 100 764
InsertionDumb 100 2614
Selection 100 5049
Quick 100 1186
Bubble 100 8712
InsertionSmart 100 764
InsertionDumb 100 2844
Selection 100 5049
Quick 100 1199
Bubble 100 8316
InsertionSmart 100 764
InsertionDumb 100 2759
Selection 100 5049
Quick 100 1266
Bubble 100 9405
InsertionSmart 100 764
InsertionDumb 100 2712
Selection 100 5049
Quick 100 1363
Bubble 100 9207
InsertionSmart 100 764
InsertionDumb 100 2511
Selection 100 5049
Quick 100 1285
Bubble 100 8811
InsertionSmart 100 764
InsertionDumb 100 2574
Selection 100 5049
Quick 100 1213
Bubble 100 8712
InsertionSmart 100 764
InsertionDumb 100 2557
Selection 100 5049
Quick 100 1171
Bubble 100 8613
InsertionSmart 100 764
InsertionDumb 100 2663
Selection 100 5049
Quick 100 1223
Bubble 100 9405
InsertionSmart 100 764
InsertionDumb 100 2604
Selection 100 5049
Quick 100 1353
Bubble 1000 978021
InsertionSmart 1000 10965
InsertionDumb 1000 249321
Selection 1000 500499
Quick 1000 20775
Bubble 1000 991008
InsertionSmart 1000 10965
InsertionDumb 1000 250505
Selection 1000 500499
Quick 1000 20716
Bubble 1000 990009
InsertionSmart 1000 10965
InsertionDumb 1000 255951
Selection 1000 500499
Quick 1000 18603
Bubble 1000 981018
InsertionSmart 1000 10965
InsertionDumb 1000 253210
Selection 1000 500499
Quick 1000 21641
Bubble 1000 940059
InsertionSmart 1000 10965
InsertionDumb 1000 251979
Selection 1000 500499
Quick 1000 20848
Bubble 1000 930069
InsertionSmart 1000 10965
InsertionDumb 1000 243489
Selection 1000 500499
Quick 1000 19295
Bubble 1000 946053
InsertionSmart 1000 10965
InsertionDumb 1000 245457
Selection 1000 500499
Quick 1000 18927
Bubble 1000 985014
InsertionSmart 1000 10965
InsertionDumb 1000 255691
Selection 1000 500499
Quick 1000 19146
Bubble 1000 962037
InsertionSmart 1000 10965
InsertionDumb 1000 241493
Selection 1000 500499
Quick 1000 17963
Bubble 1000 934065
InsertionSmart 1000 10965
InsertionDumb 1000 252162
Selection 1000 500499
Quick 1000 20245
Bubble 10000 98560143
InsertionSmart 10000 143601
InsertionDumb 10000 24783074
Selection 10000 50004999
Quick 10000 261474
Bubble 10000 98520147
InsertionSmart 10000 143601
InsertionDumb 10000 25097672
Selection 10000 50004999
Quick 10000 255114
Bubble 10000 98230176
InsertionSmart 10000 143601
InsertionDumb 10000 25085267
Selection 10000 50004999
Quick 10000 274694
Bubble 10000 98930106
InsertionSmart 10000 143601
InsertionDumb 10000 24960406
Selection 10000 50004999
Quick 10000 264286
Bubble 10000 98080191
InsertionSmart 10000 143601
InsertionDumb 10000 24912656
Selection 10000 50004999
Quick 10000 291304
Bubble 10000 99290070
InsertionSmart 10000 143601
InsertionDumb 10000 24805915
Selection 10000 50004999
Quick 10000 261618
Bubble 10000 98840115
InsertionSmart 10000 143601
InsertionDumb 10000 25017183
Selection 10000 50004999
Quick 10000 264659
Bubble 10000 99340065
InsertionSmart 10000 143601
InsertionDumb 10000 24904010
Selection 10000 50004999
Quick 10000 275724
Bubble 10000 98170182
InsertionSmart 10000 143601
InsertionDumb 10000 25103518
Selection 10000 50004999
Quick 10000 271464
Bubble 10000 98930106
InsertionSmart 10000 143601
InsertionDumb 10000 25064663
Selection 10000 50004999
Quick 10000 253505
Bubble 100000 9954300456
InsertionSmart 100000 1768910
InsertionDumb 100000 2505953456
Selection 100000 5000049999
Quick 100000 3279190
Bubble 100000 9951700482
InsertionSmart 100000 1768910
InsertionDumb 100000 2497415339
Selection 100000 5000049999
Quick 100000 3461650
Bubble 100000 9940400595
InsertionSmart 100000 1768910
InsertionDumb 100000 2494626531
Selection 100000 5000049999
Quick 100000 3484377
Bubble 100000 9958100418
InsertionSmart 100000 1768910
InsertionDumb 100000 2499808620
Selection 100000 5000049999
Quick 100000 3316693
Bubble 100000 9958300416
InsertionSmart 100000 1768910
InsertionDumb 100000 2493671460
Selection 100000 5000049999
Quick 100000 3462346
Bubble 100000 9951300486
InsertionSmart 100000 1768910
InsertionDumb 100000 2500684473
Selection 100000 5000049999
Quick 100000 3380251
Bubble 100000 9950700492
InsertionSmart 100000 1768910
InsertionDumb 100000 2495122018
Selection 100000 5000049999
Quick 100000 3436853
Bubble 100000 9946300536
InsertionSmart 100000 1768910
InsertionDumb 100000 2496641748
Selection 100000 5000049999
Quick 100000 3390917
Bubble 100000 9989400105
InsertionSmart 100000 1768910
InsertionDumb 100000 2502749329
Selection 100000 5000049999
Quick 100000 3431939
Bubble 100000 9939900600
InsertionSmart 100000 1768910
InsertionDumb 100000 2500113786
Selection 100000 5000049999
Quick 100000 3428670
